Song,AVERAGE,STDEV,Stan,Steve,Paul,Corbs,Shawn,Dave,Jem,Justin,Mark,Ian,Tony,,,,,,,,,,,,,,
"Raspberry Beret, Prince",=AVERAGE(D2:N2),=STDEV(D2:N2),2.0,4.0,7.0,9.0,5.0,5.0,1.0,1.0,16.0,12.0,1.0,,,,,,,,,,,,,,
"Roxanne, The Police",=AVERAGE(D3:N3),=STDEV(D3:N3),1.0,1.0,5.0,3.0,1.0,7.0,2.0,5.0,17.0,15.0,12.0,,,,,,,,,,,,,,
"Little Red Corvette, Prince",=AVERAGE(D4:N4),=STDEV(D4:N4),7.0,9.0,4.0,5.0,2.0,8.0,5.0,2.0,12.0,10.0,6.0,,,,,,,,,,,,,,
"Red Right Hand, Nick Cave & The Bad Seeds",=AVERAGE(D5:N5),=STDEV(D5:N5),10.0,7.0,2.0,6.0,7.0,18.0,3.0,10.0,2.0,8.0,3.0,,,,,,,,,,,,,,
"Red Rain, Peter Gabriel",=AVERAGE(D6:N6),=STDEV(D6:N6),15.0,8.0,11.0,10.0,11.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,
"Jamming, Bob Marley & The Wailers",=AVERAGE(D7:N7),=STDEV(D7:N7),8.0,5.0,1.0,2.0,6.0,3.0,12.0,15.0,13.0,13.0,14.0,,,,,,,,,,,,,,
"Red Guitar, David Sylvian",=AVERAGE(D8:N8),=STDEV(D8:N8),4.0,13.0,6.0,18.0,9.0,13.0,7.0,3.0,15.0,2.0,10.0,,,,,,,,,,,,,,
"Red Berry Joy Town, The Wonderstuff",=AVERAGE(D9:N9),=STDEV(D9:N9),6.0,3.0,16.0,4.0,4.0,2.0,14.0,8.0,6.0,18.0,19.0,,,,,,,,,,,,,,
"Red Red Wine, Neil Diamond",=AVERAGE(D10:N10),=STDEV(D10:N10),3.0,6.0,15.0,15.0,13.0,9.0,6.0,12.0,18.0,3.0,5.0,,,,,,,,,,,,,,
"Crimson and Clover, Tommy James & The Shondells",=AVERAGE(D11:N11),=STDEV(D11:N11),5.0,10.0,8.0,13.0,10.0,12.0,9.0,11.0,7.0,6.0,17.0,,,,,,,,,,,,,,
"Where the Wild Roses Grow, Nick Cave & The Bad Seeds and Kylie Minogue",=AVERAGE(D12:N12),=STDEV(D12:N12),9.0,2.0,12.0,7.0,8.0,20.0,11.0,13.0,20.0,1.0,7.0,,,,,,,,,,,,,,
"Scarlet, The Rolling Stones",=AVERAGE(D13:N13),=STDEV(D13:N13),12.0,11.0,14.0,8.0,14.0,11.0,8.0,7.0,14.0,9.0,8.0,,,,,,,,,,,,,,
"Scarlet, U2",=AVERAGE(D14:N14),=STDEV(D14:N14),11.0,12.0,9.0,11.0,12.0,14.0,15.0,18.0,8.0,5.0,16.0,,,,,,,,,,,,,,
"Red House, Jimi Hendrix",=AVERAGE(D15:N15),=STDEV(D15:N15),16.0,14.0,3.0,14.0,3.0,10.0,16.0,19.0,10.0,17.0,9.0,,,,,,,,,,,,,,
"Maroon, Taylor Swift",=AVERAGE(D16:N16),=STDEV(D16:N16),13.0,19.0,13.0,16.0,16.0,15.0,17.0,6.0,1.0,14.0,15.0,,,,,,,,,,,,,,
"Rose Tattoo, Dropkick Murphys",=AVERAGE(D17:N17),=STDEV(D17:N17),17.0,15.0,17.0,20.0,15.0,1.0,18.0,9.0,9.0,19.0,11.0,,,,,,,,,,,,,,
"Murder in the Red Barn, Tom Waits",=AVERAGE(D18:N18),=STDEV(D18:N18),19.0,17.0,20.0,17.0,17.0,19.0,10.0,17.0,11.0,11.0,2.0,,,,,,,,,,,,,,
"Crimson, Skott",=AVERAGE(D19:N19),=STDEV(D19:N19),14.0,16.0,10.0,12.0,20.0,17.0,13.0,20.0,4.0,16.0,20.0,,,,,,,,,,,,,,
"The Coral Song, Kids TV 123",=AVERAGE(D20:N20),=STDEV(D20:N20),18.0,20.0,19.0,1.0,18.0,16.0,19.0,16.0,19.0,7.0,13.0,,,,,,,,,,,,,,
"Rosenrot, Rammstein",=AVERAGE(D21:N21),=STDEV(D21:N21),20.0,18.0,18.0,19.0,19.0,6.0,20.0,14.0,5.0,20.0,18.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
